SAP_FLUX,SAP_BKG,PDCSAP_FLUX,MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,RESULT
8550.84653133,757.872315794,10941.5316427,72.7748393788,45.8012092495,-0.0014970756541,-0.00389056318702,1
5956.7411598,651.812228664,8551.71801074,74.1253252403,45.1056052824,-1.99646007416,-1.23454834957,1
7558.35744847,1200.71323846,9638.44754563,72.9310538769,48.7100291129,0.0140328146519,0.0252397934299,1
7892.74839823,1316.58663472,9427.22236797,69.3813146277,50.5717017395,-3.34041182882,-2.47136437612,1
8445.46704681,795.875163941,10737.1530879,71.1730720003,44.7866725727,-0.0397853185773,-0.0470868222256,1
6058.15171447,672.973997081,8709.00146573,76.8866991565,46.7832729723,-0.00168282356102,0.00516696960404,1
7601.94238616,1211.9218846,9694.22656205,74.4075111181,49.6928358799,0.0107230745621,0.0236379245647,1
6651.15263964,825.107424984,9806.97529675,70.4136547347,51.3612563245,-3.12368842603,-2.30612874386,1
8482.50263127,840.683718457,10774.7201153,71.7440506542,45.1674258102,-0.135174974617,-0.114883662895,1
6466.45249144,693.214486202,9305.66553423,78.9435904017,48.0936901167,-0.00228319663966,0.000935362209038,1
6214.08974194,686.931105563,8766.38774851,78.8657571465,47.9854046364,-0.000459265560478,0.00338654525255,1
5985.59233812,675.784872149,8629.30085791,76.8717046635,46.7756785823,-0.0749640079162,-0.0361530350186,1
5750.79753581,700.108000487,8270.27890495,78.7887939587,47.8887185161,0.00107917256373,0.00441872184451,1
7428.65316822,1129.8035271,9416.21834694,76.809920101,51.2751115903,0.000949114961766,0.00628343388715,1
7784.4747115,1219.90733964,9787.15007519,76.762684083,51.2587296616,0.000859812898178,0.00378024520832,1
7369.87816612,1205.23266378,9320.84832222,73.1420657999,48.8483252254,-1.94923518384,-1.29615817513,1
7468.24119992,1342.24437596,9447.78188108,71.5996402375,47.8444373861,0.000541422133622,0.00225429200986,1
6347.96373197,846.928978184,8139.46822656,73.9343071283,53.9306948624,0.000737788179148,0.00175995918137,1
6962.41848844,897.557868974,10195.8353407,73.9501487109,53.9969317558,0.000933700765617,-0.00234163060121,1
6666.6979442,831.175524613,8881.61853329,71.6452470268,52.3228624418,-0.335483290724,-0.257671205536,1
7333.29734308,847.406153594,8914.17683949,74.0541836132,54.126357329,-0.000921689897108,-0.0057103011569,1
8670.2880064,947.121078304,10900.6068646,73.2757319668,46.1578453889,-0.00326814150951,-0.00577402852875,1
8596.72116641,836.767943076,10777.215155,73.2825177127,46.145454193,-0.00323011500147,-0.00632259696892,1
8333.15151364,836.830454166,10439.9990243,71.4415504672,44.9756762906,-0.0556906514344,-0.0599052118131,1
8357.13718728,776.033684013,10406.4627784,73.278629161,46.0884798375,-0.000985592593553,-0.000282861315937,1
5144.90391307,559.836205969,7118.84673759,63.5244000504,38.708173476,-0.00242975489818,-0.000400036658587,1
6125.4027762,683.804973511,8836.41084664,78.8724124427,47.9967812288,-0.00140968131796,0.00378627643611,1
5494.73648394,629.145685362,7820.73162145,71.8885518689,43.7446425086,-3.93623385804,-2.41859360396,1
5685.4331516,691.916895686,8191.36844016,78.809722264,47.9058700071,0.00103870802877,0.00474329036562,1
7293.52922416,1117.99706024,9253.66726313,76.800360689,51.2665082323,0.00207947310744,0.005040312142,1
6316.91299204,990.547257288,7999.51005475,62.5587126041,41.773607247,-6.49560214178e-05,0.00108507931221,1
7062.83987082,1161.73526333,8980.07136343,70.6539920316,47.1862101762,-3.90095651114,-2.61528140364,1
7980.14033669,1424.10758948,10173.6499226,76.8326096377,51.338517392,0.00230978255981,0.00320833769811,1
5902.59279249,716.998644912,8514.03720975,62.6646428367,45.7718109086,-0.0945141768494,-0.0688114096876,1
237739.341222,3602.69999015,241540.716715,264.638226902,858.203246097,-7.67777572709e-05,0.00134681100244,1
237659.334369,3630.15333551,241813.837878,264.380913703,857.623874044,-0.0018812731146,0.00140858195394,1
214883.55505,2444.37242391,222738.357613,254.603481399,812.510674369,-6.75582521217,-21.5091505382,1
223313.753022,3918.22701188,228542.661672,262.321240233,832.25261867,0.00265545663886,-0.00335500962646,1
232520.998551,4411.33216314,237972.603976,270.413999883,857.952889645,0.00162905238628,-0.00293514128534,1
220348.868914,4263.53712033,225360.403879,256.713905414,814.441453164,0.010224837073,-0.0188708124429,1
233349.883934,5090.22661939,238810.431287,270.099759424,856.831930207,0.00155325533107,-0.00182837500968,1
225338.416037,3356.1522613,233671.828533,265.863595814,857.397773975,0.000727722594379,0.00118099527679,1
195438.198098,3073.88598915,202654.714711,229.583799679,740.044916902,0.00670738956462,-0.00771513755921,1
212321.494915,3155.31477067,219818.213349,249.76608212,805.104529374,-11.9325140448,-38.3640583466,1
226627.20708,3191.70299818,235002.663732,266.161502146,857.528421067,-0.001143830702,0.00187563913708,1
237389.89823,3998.3914974,243720.235491,266.225454583,863.205142717,-0.00242960411729,0.00356388250796,1
236586.386528,3528.75373639,242869.433724,266.197110472,863.077812176,-0.00206425957264,0.00119589067105,1
229347.441199,3497.68745938,235414.503146,258.450005037,838.053686907,-0.0819116075153,-0.159890967567,1
234725.365492,3292.3489935,240978.60524,266.170944313,863.23089588,-0.00271818695762,0.00215450903991,1
226067.164078,2571.51834949,235062.641051,270.640591757,863.270819419,0.000585328085267,-0.0011833994092,1
225929.154643,2561.94586445,234905.532918,270.795162648,864.103998971,0.000916879658814,0.0005085609119,1
220021.206767,2523.77116824,228619.378251,263.987918071,842.403288263,0.00116497429558,0.000175937457547,1
224675.204492,2628.06035827,233303.542671,270.512414477,863.571914168,0.00106470263355,-0.00287885426965,1
227295.864531,4031.02566359,232361.957549,270.364565694,857.793591763,0.00323880180874,-0.0041967176294,1
229390.295028,4365.26975507,234679.877313,270.207653055,857.327824712,0.00165693428686,-0.00321178362724,1
221990.260021,4316.61275296,227215.57445,261.931622268,831.02600412,0.00821956551269,-0.0191361230723,1
226215.617128,4910.0127066,231169.268568,265.17600188,841.256129225,0.00114385311124,-0.00147535108112,1
223182.82005,3472.3303423,231251.928447,265.97689421,857.742584702,0.000269822414877,0.000189260324329,1
203702.504498,3277.76470405,211102.968928,241.827734951,779.562440902,0.000105147721191,0.00334858193282,1
213059.898211,3319.10940843,220596.297737,253.080028481,815.815746028,-11.1048206302,-35.6935844577,1
224450.513579,3350.05960289,232581.314396,266.120343669,857.515192701,-0.000255475499804,0.000807170286633,1
236028.268545,4335.84471364,241022.193237,266.18122009,863.267576667,-0.00347435801168,0.00513109700661,1
235234.277333,3793.39660227,240036.959304,266.244131763,863.387261791,-0.00334205184622,0.00434970466726,1
229923.524096,3823.81697728,234736.540082,260.546694787,845.003522638,-0.474979650123,-1.42150575324,1
233107.146618,3507.56944975,238025.5502,265.962762117,862.65646213,-0.000942892380802,0.00115053264447,1
224263.907623,2608.62310345,232560.361776,270.926725448,864.165420076,-0.000547821133753,0.000124712679001,1
223715.147793,2579.94136201,227393.256331,270.83788029,864.245900821,0.00115933820842,0.000535118451855,1
217885.122844,2538.10877749,226418.66814,263.924661401,842.188564024,-0.239177995065,-0.754951258719,1
222684.169368,2626.12928617,230771.404312,270.729654313,864.272956409,0.0007412983135,-0.00209904560201,1
224762.086755,3995.86471408,228462.503337,270.416876316,857.97343574,0.00361418613396,-0.00469712212469,1
227041.775664,4346.90920579,228980.952649,270.236362529,857.433177075,0.00150244650002,-0.00289945693276,1
215964.116399,4291.50441615,219047.189663,257.475647194,816.887737032,-6.80002408109,-21.5734018414,1
212772.011486,4801.1289978,215973.407126,252.009733942,799.473127085,0.0014235238042,-0.00169558555105,1
221340.194414,3368.71306893,201180.353065,265.937157125,857.739953444,0.000528076034227,-0.000225924606398,1
221932.204899,3572.0512015,229547.962442,265.840121199,857.067014928,0.000473926109914,0.00205250912506,1
214759.174081,3301.89572352,202373.039607,257.532146796,830.273198803,-1.25639400025,-4.03479917121,1
222041.833203,3332.86494179,190813.908081,266.090292193,857.484553974,-0.000936805169451,0.00244666674028,1
233243.472664,4325.76869654,235954.875116,266.184476109,863.302033438,-0.00316179143525,0.00449469860563,1
232508.658031,3805.00802178,234541.35746,266.156804725,863.127705941,-0.00332953813531,0.00433145425469,1
226428.263476,3806.86479486,228224.890784,259.446956277,841.442226377,-0.202844475406,-0.560928040078,1
230833.940618,3514.24929796,231198.637632,266.196737724,863.409337288,-0.000664636097889,0.000700996077901,1
178868.584135,2102.85176093,178144.979543,217.981093973,695.246768533,-0.000923964594262,0.000567834203923,1
221633.10372,2561.00660707,230427.6566,270.838395058,864.205145701,0.00042013517266,-0.000148011225936,1
201886.490323,2357.13045696,207250.718638,246.868870376,787.762742616,-13.2945520696,-42.2883667377,1
220683.959341,2588.18383356,229162.732019,270.794110967,864.450461975,0.000222611223164,-0.00193604312647,1
220623.988533,3768.57987426,225688.401788,270.381415267,857.874493007,0.00332205337569,-0.00425062954799,1
182336.197064,3367.32679226,186263.708737,220.21700085,698.725722266,-0.000986037926167,-0.000528314775254,1
205254.693747,3944.68701667,210385.182348,248.704169397,789.058873832,-13.594634686,-43.071538961,1
224760.4839,4856.6615334,231025.759379,270.412768849,857.86073045,0.00184414080418,-0.00245619207919,1
186119.022265,2855.93079882,191950.818898,225.280671551,726.228076557,-0.370164009078,-1.2388177066,1
12252.3541633,1017.08191413,14049.4269509,500.444444291,485.112415884,-0.00072201615995,0.00108048791753,1
11042.8872149,1051.26524463,12374.9634778,478.283574052,459.918975046,-12.6733859234,-12.1847490399,1
10935.2200081,1451.82628029,12896.3937875,482.769748089,458.413902688,0.0107890738723,-0.0176251829046,1
12071.261552,1435.2748112,12700.0610801,473.31865779,453.299904313,-22.5736481772,-21.6161305882,1
11465.5602099,905.138327989,13876.4949962,489.111864903,474.038633393,-0.133516871189,-0.0800003095811,1
11245.5912906,1090.7649321,12627.778045,495.898692392,476.826868499,0.000154786520883,0.000779292632839,1
10934.9629634,1472.0043101,12908.4211467,492.586377681,467.741851428,0.0102936988131,-0.0178173551322,1
12146.9661533,1506.28683672,12779.8317978,479.606739676,459.32729518,-21.0058150929,-20.1111573688,1
12011.0451525,1131.1120579,13716.2882144,493.127191426,477.961526449,-0.875413908424,-0.790159300892,1
11105.5701959,1096.15825654,12464.1877396,495.774155363,476.698318066,-0.447993981446,-0.428694518941,1
297996.753873,4791.22617988,305115.010964,23.1814439258,100.557574575,-0.000181963513584,-0.00154132527479,0
303219.644581,5390.72063907,306748.147117,23.110789952,100.410666663,-0.00138890670434,-0.00453756302511,0
264928.271589,4134.49756252,271913.665573,27.0870337897,96.6686805891,-0.746494362001,-2.58917069938,0
280348.865174,5727.11000932,286258.95665,25.4943413362,100.777950422,0.0142917971516,0.0243890918315,0
276842.545365,5060.00382574,283198.698061,22.4797002486,101.963619126,-1.09499997177,-4.90672093161,0
294288.663432,5478.55815436,298677.317935,22.6968147919,98.2241466358,-0.0291065464844,-0.0586347265926,0
272153.928909,4305.20646881,280018.427886,28.1031610716,100.253330301,-0.00230795854676,0.00483230656413,0
283108.761121,5794.27704821,288996.178307,26.0051013463,102.815702224,0.0116633739759,0.0234260562592,0
279000.707171,5294.84874524,285307.657403,22.778197452,103.323606472,-1.03507349573,-4.57263235479,0
294540.152462,5683.25966332,300300.6118,22.8407715944,99.0577833642,-0.0635345910866,-0.194516950064,0
270107.205855,4324.79982209,277924.45455,28.0977026399,100.23181922,-0.0316907255035,-0.0849651774248,0
275923.373081,5757.25457171,279111.525275,25.5610667083,101.06658532,-0.689364633847,-2.66377566654,0
276812.249444,4781.31390701,262339.413212,23.1281045924,105.237579289,-0.110620696871,-0.500613866649,0
291798.430283,5860.06988993,292412.121551,22.7400570495,98.6400407107,-0.0337449748258,-0.084028278668,0
250732.226574,4024.98179944,254828.157984,26.2942950857,93.7499011538,-1.47916097054,-5.08233290217,0
264205.557289,5545.69205491,268724.601281,24.6876725758,97.6262427181,-1.38245966474,-5.34672960653,0
238432.249413,3882.35699633,249807.051489,20.225287591,92.0793022745,-0.0216488393546,-0.147098221693,0
70556.9440636,2119.27641858,80235.3475204,23.3357195806,96.7008982885,-0.00139597546382,-0.00453025872755,0
54052.9750867,1323.69630235,68155.2073255,27.5134326646,91.7612726307,-0.760098367607,-2.4650931231,0
64900.6995835,3273.38889289,71927.4629988,25.8590954597,96.2571666141,0.0143405719692,0.0244643737526,0
64610.2812802,2663.72947381,71029.5327603,22.9842478101,97.5875360512,-1.11906439013,-4.68370634969,0
67948.053885,2233.76661537,76919.072484,22.8839318789,94.421657448,-0.0292132879374,-0.0576126815185,0
56375.7574102,1549.12570483,69463.4510609,28.5437413767,95.1609739778,-0.00226352708512,0.00488321995047,0
66060.2795143,3309.47685212,73381.552625,26.4048165864,98.2327634094,0.0116482432845,0.0234556115541,0
65516.3553246,2787.44185574,71781.9215629,23.2863466814,98.8721786079,-1.05766115664,-4.36516423789,0
69481.6454947,2621.19584523,77608.590509,23.06275688,95.2173862493,-0.0642062550147,-0.187240496386,0
56984.583761,1556.10870934,70299.4709385,28.5394580666,95.1401006622,-0.0321330475984,-0.0805014380555,0
63200.5448225,2877.47644521,71582.9136599,25.9248330099,96.5438785176,-0.702902930259,-2.53853138846,0
67084.2463372,2812.75306438,66873.0994799,23.6557048858,100.645904023,-0.11304392899,-0.478346426235,0
68504.4031805,2386.25060077,76674.0027797,22.9393296068,94.8093094053,-0.0339471198311,-0.0818353799332,0
51996.4313167,1448.39707048,63349.7739483,26.6892660815,88.9740052515,-1.50589338785,-4.83830638824,0
60656.9009169,3167.83180841,67085.0387029,25.0722778072,93.2826017356,-1.40957954544,-5.09658070867,0
56878.8635433,2426.55347458,62086.6912919,20.6954830488,88.0184522966,-0.0224352316646,-0.139957868633,0
3029539.97056,9525.4249459,3030510.74771,15.0755550779,64.7856238414,-0.00142993146019,-0.00461293446972,0
2707732.57556,8170.26005675,2701633.76056,19.4664132733,62.9715046882,-0.543708065943,-1.69971953455,0
2836901.11894,10110.2974987,2836381.57254,17.7594205084,66.9062949099,0.0148900875428,0.024952877172,0
2798073.4345,11522.6424755,2793472.16227,14.8011722151,68.4235062646,-0.726795101771,-3.30816862449,0
2953516.80519,10052.3025917,2952636.34549,14.7975305716,63.3093544668,-0.0272772519331,-0.0514527976613,0
2787872.01643,8630.44775368,2785938.46885,20.2014291123,65.3194260813,-0.0020409706345,0.00525203031813,0
2874793.40491,10164.6224176,2876380.27869,18.1120786655,68.2528077783,0.0117562833634,0.0236673023578,0
2819882.80124,12618.0269339,2815421.46722,14.9897871859,69.3346080873,-0.694767227665,-3.08580417534,0
2957162.05123,10522.1581476,2956806.56795,14.8768532077,63.8582522059,-0.0507589327541,-0.142425199717,0
2770576.05647,8666.76433089,2768820.07386,20.1982523575,65.3105637772,-0.0243610012408,-0.0529842848747,0
2802598.14493,10094.2731733,2779051.33803,17.8011985305,67.094150746,-0.483154347872,-1.76604718708,0
2852229.01422,12714.8470344,2592419.20852,15.2063646983,70.6234994107,-0.0738180664218,-0.340946703856,0
2926436.88119,10669.7997497,2888786.64177,14.8118191351,63.5951882056,-0.0298162076871,-0.0683768313144,0
2573746.20838,7911.17353477,2542780.68383,18.8874064106,61.0797862678,-1.08041489348,-3.33293052644,0
2692372.05962,9733.92462735,2683459.01417,17.1944666592,64.8089372125,-0.970743620862,-3.5536840023,0
2484321.92101,11211.3080542,2473043.39852,13.3146713448,61.7820919025,-0.00974120656933,-0.0960092951906,0
186284.426142,3675.74899677,196514.784762,46.6636800566,81.1849039827,-0.000151396850397,-0.00155240493077,0
52238.5680557,1639.39879191,63806.3333279,38.0597154896,64.753253908,-0.000169697933188,-0.00156178609919,0
249316.892102,5100.06054277,255591.960872,41.5168844234,53.3842875746,-0.000169908356855,-0.00156896167336,0
247737.398681,4803.03612417,255357.128146,41.4374688985,53.336020634,-0.00146561511527,-0.00427594944817,0
202598.623256,3135.55601126,217773.64468,44.4434173734,52.1339310432,-1.20462254899,-1.40944626938,0
229086.72441,5695.16640994,234589.477342,42.9758865762,55.8091186921,0.0145350801373,0.0251354359192,0
225582.100544,4253.38886071,236072.573456,39.7205729984,57.4805378028,-1.91562115076,-2.7861133318,0
242222.405657,5257.67830916,248707.77603,40.6019416341,52.1848308309,-0.0329616890183,-0.048810235712,0
209779.484361,3580.91661171,222464.141517,46.1045214545,54.0707428094,-0.00184377315069,0.00524811432646,0
230774.995996,5736.14822768,236486.710114,43.8424696566,56.9326202679,0.0112743747416,0.0236727927561,0
226982.316851,4447.01884194,237526.544816,40.2446007297,58.2420055767,-1.79968140051,-2.59958093033,0
241962.676663,5369.3216479,249266.084148,40.9009224058,52.6289117498,-0.0890452404376,-0.125282348033,0
207868.997226,3595.95616952,220525.4888,46.0952592478,54.0637990302,-0.0473588748726,-0.0424903486629,0
224599.832141,5700.16571972,228108.158649,43.0948298103,55.9674252254,-1.14997855602,-1.47289205978,0
228841.831873,4480.2804135,217814.913796,40.9260091241,59.3439501365,-0.19287523634,-0.288948380345,0
237982.795429,5339.2329994,242314.890204,40.7265820014,52.4109467495,-0.0415543754699,-0.0631358692655,0
192691.310861,3348.90705607,201954.919868,43.1066324197,50.5623550722,-2.3796354891,-2.76226798366,0
214230.276069,5300.17959791,219826.862575,41.6213219443,54.0563752325,-2.30363259585,-2.96821453509,0
202208.088315,4347.49956063,207954.321069,35.8017608639,51.9204259903,-0.0483290703807,-0.0791104893128,0
8550.84653133,757.872315794,10941.5316427,72.7748393788,45.8012092495,-0.0014970756541,-0.00389056318702,0
5956.7411598,651.812228664,8551.71801074,74.1253252403,45.1056052824,-1.99646007416,-1.23454834957,0
7558.35744847,1200.71323846,9638.44754563,72.9310538769,48.7100291129,0.0140328146519,0.0252397934299,0
7892.74839823,1316.58663472,9427.22236797,69.3813146277,50.5717017395,-3.34041182882,-2.47136437612,0
8445.46704681,795.875163941,10737.1530879,71.1730720003,44.7866725727,-0.0397853185773,-0.0470868222256,0
6058.15171447,672.973997081,8709.00146573,76.8866991565,46.7832729723,-0.00168282356102,0.00516696960404,0
7601.94238616,1211.9218846,9694.22656205,74.4075111181,49.6928358799,0.0107230745621,0.0236379245647,0
6651.15263964,825.107424984,9806.97529675,70.4136547347,51.3612563245,-3.12368842603,-2.30612874386,0
8482.50263127,840.683718457,10774.7201153,71.7440506542,45.1674258102,-0.135174974617,-0.114883662895,0
6466.45249144,693.214486202,9305.66553423,78.9435904017,48.0936901167,-0.00228319663966,0.000935362209038,0
6214.08974194,686.931105563,8766.38774851,78.8657571465,47.9854046364,-0.000459265560478,0.00338654525255,0
5985.59233812,675.784872149,8629.30085791,76.8717046635,46.7756785823,-0.0749640079162,-0.0361530350186,0
5750.79753581,700.108000487,8270.27890495,78.7887939587,47.8887185161,0.00107917256373,0.00441872184451,0
7428.65316822,1129.8035271,9416.21834694,76.809920101,51.2751115903,0.000949114961766,0.00628343388715,0
7784.4747115,1219.90733964,9787.15007519,76.762684083,51.2587296616,0.000859812898178,0.00378024520832,0
7369.87816612,1205.23266378,9320.84832222,73.1420657999,48.8483252254,-1.94923518384,-1.29615817513,0
7468.24119992,1342.24437596,9447.78188108,71.5996402375,47.8444373861,0.000541422133622,0.00225429200986,0
6347.96373197,846.928978184,8139.46822656,73.9343071283,53.9306948624,0.000737788179148,0.00175995918137,0
6962.41848844,897.557868974,10195.8353407,73.9501487109,53.9969317558,0.000933700765617,-0.00234163060121,0
6666.6979442,831.175524613,8881.61853329,71.6452470268,52.3228624418,-0.335483290724,-0.257671205536,0
7333.29734308,847.406153594,8914.17683949,74.0541836132,54.126357329,-0.000921689897108,-0.0057103011569,0
8670.2880064,947.121078304,10900.6068646,73.2757319668,46.1578453889,-0.00326814150951,-0.00577402852875,0
8596.72116641,836.767943076,10777.215155,73.2825177127,46.145454193,-0.00323011500147,-0.00632259696892,0
8333.15151364,836.830454166,10439.9990243,71.4415504672,44.9756762906,-0.0556906514344,-0.0599052118131,0
8357.13718728,776.033684013,10406.4627784,73.278629161,46.0884798375,-0.000985592593553,-0.000282861315937,0
5144.90391307,559.836205969,7118.84673759,63.5244000504,38.708173476,-0.00242975489818,-0.000400036658587,0
6125.4027762,683.804973511,8836.41084664,78.8724124427,47.9967812288,-0.00140968131796,0.00378627643611,0
5494.73648394,629.145685362,7820.73162145,71.8885518689,43.7446425086,-3.93623385804,-2.41859360396,0
5685.4331516,691.916895686,8191.36844016,78.809722264,47.9058700071,0.00103870802877,0.00474329036562,0
7293.52922416,1117.99706024,9253.66726313,76.800360689,51.2665082323,0.00207947310744,0.005040312142,0
6316.91299204,990.547257288,7999.51005475,62.5587126041,41.773607247,-6.49560214178e-05,0.00108507931221,0
7062.83987082,1161.73526333,8980.07136343,70.6539920316,47.1862101762,-3.90095651114,-2.61528140364,0
